Symptoms,Medicines
"inflammation, runny nose, body pain, acidity, sneezing","cetirizine, diclofenac, aciloc"
"inflammation, bacterial infection","azithromycin, diclofenac"
"stomach pain, inflammation","diclofenac, aciloc"
"acidity, stomach pain, headache, body pain, fever","paracetamol, aciloc"
"fever, sore throat, acidity","paracetamol, azithromycin, aciloc"
"cough, inflammation, bacterial infection, fever, body pain","paracetamol, azithromycin, diclofenac"
"allergy, stomach pain, swelling, headache, inflammation","cetirizine, diclofenac, aciloc"
stomach pain,aciloc
"bacterial infection, allergy, inflammation","cetirizine, azithromycin, diclofenac"
"swelling, bacterial infection","azithromycin, diclofenac"
"allergy, sore throat, cold, cough","cetirizine, azithromycin"
"bacterial infection, cold, body pain, fever","paracetamol, cetirizine, azithromycin"
"swelling, sneezing","cetirizine, diclofenac"
"acidity, inflammation, swelling","diclofenac, aciloc"
"headache, sneezing, swelling, cough","cetirizine, azithromycin, diclofenac"
"swelling, runny nose, inflammation, sore throat","cetirizine, azithromycin, diclofenac"
cough,azithromycin
"body pain, sneezing, swelling","cetirizine, diclofenac"
"headache, sneezing","cetirizine, diclofenac"
"cough, stomach pain, cold","cetirizine, azithromycin, aciloc"
"body pain, acidity, fever","paracetamol, aciloc"
sneezing,cetirizine
"runny nose, sneezing, acidity, inflammation","cetirizine, diclofenac, aciloc"
swelling,diclofenac
"fever, inflammation","paracetamol, diclofenac"
"allergy, body pain","cetirizine, diclofenac"
headache,diclofenac
"body pain, bacterial infection, inflammation","azithromycin, diclofenac"
fever,paracetamol
"sore throat, body pain, headache, runny nose","cetirizine, azithromycin, diclofenac"
"sneezing, cold, swelling","cetirizine, diclofenac"
"sore throat, bacterial infection, body pain","azithromycin, diclofenac"
"sore throat, stomach pain","azithromycin, aciloc"
"acidity, fever","paracetamol, aciloc"
"allergy, sore throat, headache, runny nose","cetirizine, azithromycin, diclofenac"
inflammation,diclofenac
"runny nose, stomach pain, acidity, fever, body pain","paracetamol, cetirizine, aciloc"
runny nose,cetirizine
"stomach pain, acidity",aciloc
"headache, cough, cold, fever, body pain","paracetamol, cetirizine, azithromycin"
"stomach pain, sore throat","azithromycin, aciloc"
"sore throat, cold","cetirizine, azithromycin"
"swelling, allergy, cold, headache, sneezing","cetirizine, diclofenac"
"body pain, bacterial infection, headache","azithromycin, diclofenac"
"acidity, cough","azithromycin, aciloc"
"swelling, sneezing, allergy","cetirizine, diclofenac"
"cold, swelling","cetirizine, diclofenac"
"runny nose, bacterial infection","cetirizine, azithromycin"
"runny nose, inflammation","cetirizine, diclofenac"
"allergy, sore throat, bacterial infection, headache, cough","cetirizine, azithromycin, diclofenac"
"acidity, headache, swelling, body pain, fever","paracetamol, diclofenac, aciloc"
"headache, bacterial infection, allergy","cetirizine, azithromycin, diclofenac"
"headache, fever, sore throat","paracetamol, azithromycin"
"stomach pain, body pain, allergy, headache","cetirizine, diclofenac, aciloc"
"cold, sore throat","cetirizine, azithromycin"
allergy,cetirizine
"runny nose, bacterial infection, body pain, allergy, headache","cetirizine, azithromycin, diclofenac"
"fever, bacterial infection, sneezing, sore throat","paracetamol, cetirizine, azithromycin"
"swelling, allergy","cetirizine, diclofenac"
fever,paracetamol
"body pain, cough","azithromycin, diclofenac"
sore throat,azithromycin
headache,diclofenac
"runny nose, bacterial infection, body pain","cetirizine, azithromycin, diclofenac"
cough,azithromycin
"cold, fever","paracetamol, cetirizine"
"allergy, headache, sore throat, fever","paracetamol, cetirizine, azithromycin"
"inflammation, allergy, body pain, acidity, fever","paracetamol, cetirizine, diclofenac, aciloc"
"stomach pain, sneezing, runny nose","cetirizine, aciloc"
"cough, allergy, fever, sore throat","paracetamol, cetirizine, azithromycin"
"headache, fever",paracetamol
"fever, runny nose, cough","paracetamol, cetirizine, azithromycin"
"fever, headache, cold, sore throat","paracetamol, cetirizine, azithromycin"
"cold, allergy, stomach pain, sore throat, bacterial infection","cetirizine, azithromycin, aciloc"
"sneezing, cough, runny nose, body pain","cetirizine, azithromycin, diclofenac"
"headache, inflammation",diclofenac
"headache, body pain, fever, bacterial infection, cold","paracetamol, cetirizine, azithromycin"
runny nose,cetirizine
"cold, body pain","cetirizine, diclofenac"
sneezing,cetirizine
"fever, acidity","paracetamol, aciloc"
"swelling, sneezing, headache, cold, cough","cetirizine, azithromycin, diclofenac"
"allergy, bacterial infection, fever, acidity","paracetamol, cetirizine, azithromycin, aciloc"
"acidity, sore throat, runny nose","cetirizine, azithromycin, aciloc"
"bacterial infection, inflammation","azithromycin, diclofenac"
sneezing,cetirizine
"sore throat, body pain, cough","azithromycin, diclofenac"
headache,diclofenac
"swelling, sneezing, headache","cetirizine, diclofenac"
headache,diclofenac
"cough, acidity, cold, stomach pain, headache","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, fever","paracetamol, aciloc"
runny nose,cetirizine
"sore throat, bacterial infection",azithromycin
"runny nose, acidity, cold, body pain","cetirizine, diclofenac, aciloc"
"sore throat, swelling","azithromycin, diclofenac"
"fever, bacterial infection, acidity, headache, allergy","paracetamol, cetirizine, azithromycin, aciloc"
stomach pain,aciloc
"cold, allergy",cetirizine
swelling,diclofenac
sore throat,azithromycin
"headache, stomach pain","diclofenac, aciloc"
"sore throat, cough, body pain","azithromycin, diclofenac"
"stomach pain, allergy","cetirizine, aciloc"
"body pain, allergy","cetirizine, diclofenac"
"sneezing, cough","cetirizine, azithromycin"
"inflammation, headache, cough, fever","paracetamol, azithromycin, diclofenac"
"sore throat, fever, bacterial infection, cough","paracetamol, azithromycin"
"cough, acidity","azithromycin, aciloc"
allergy,cetirizine
sneezing,cetirizine
"inflammation, stomach pain, swelling, acidity, headache","diclofenac, aciloc"
cold,cetirizine
"bacterial infection, sneezing, allergy","cetirizine, azithromycin"
"headache, sore throat, stomach pain, acidity, cold","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, bacterial infection, sneezing, body pain, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"runny nose, swelling","cetirizine, diclofenac"
"bacterial infection, sore throat, inflammation","azithromycin, diclofenac"
"cough, runny nose","cetirizine, azithromycin"
"stomach pain, cough, fever, body pain, inflammation","paracetamol, azithromycin, diclofenac, aciloc"
"sneezing, stomach pain, swelling, allergy, fever","paracetamol, cetirizine, diclofenac, aciloc"
"body pain, headache, cough, inflammation","azithromycin, diclofenac"
"sore throat, acidity, stomach pain, allergy, fever","paracetamol, cetirizine, azithromycin, aciloc"
"runny nose, swelling","cetirizine, diclofenac"
inflammation,diclofenac
"acidity, sneezing","cetirizine, aciloc"
"stomach pain, fever","paracetamol, aciloc"
"headache, cold","cetirizine, diclofenac"
"cough, cold","cetirizine, azithromycin"
"inflammation, stomach pain","diclofenac, aciloc"
"cough, headache, inflammation, stomach pain, body pain","azithromycin, diclofenac, aciloc"
"cold, body pain, acidity","cetirizine, diclofenac, aciloc"
inflammation,diclofenac
"cough, acidity","azithromycin, aciloc"
sneezing,cetirizine
"allergy, sneezing, fever, cough, acidity","paracetamol, cetirizine, azithromycin, aciloc"
bacterial infection,azithromycin
"body pain, fever",paracetamol
cold,cetirizine
cough,azithromycin
body pain,diclofenac
"stomach pain, fever, headache","paracetamol, aciloc"
"sore throat, cough, stomach pain","azithromycin, aciloc"
stomach pain,aciloc
"inflammation, cold, body pain","cetirizine, diclofenac"
"headache, sneezing","cetirizine, diclofenac"
sore throat,azithromycin
"headache, fever, sore throat","paracetamol, azithromycin"
"inflammation, sneezing","cetirizine, diclofenac"
"swelling, headache, bacterial infection, fever, acidity","paracetamol, azithromycin, diclofenac, aciloc"
acidity,aciloc
"allergy, bacterial infection, sneezing, cough","cetirizine, azithromycin"
"sneezing, fever, acidity, stomach pain, headache","paracetamol, cetirizine, aciloc"
"cold, inflammation, swelling, headache, fever","paracetamol, cetirizine, diclofenac"
"sore throat, acidity, swelling, cold, fever","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
"stomach pain, runny nose, headache","cetirizine, diclofenac, aciloc"
"bacterial infection, acidity, cold, swelling","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, body pain","diclofenac, aciloc"
"headache, inflammation, allergy, cough","cetirizine, azithromycin, diclofenac"
"allergy, stomach pain, body pain, cough","cetirizine, azithromycin, diclofenac, aciloc"
body pain,diclofenac
"cold, cough, fever, bacterial infection, stomach pain","paracetamol, cetirizine, azithromycin, aciloc"
"inflammation, swelling, fever, runny nose, sore throat","paracetamol, cetirizine, azithromycin, diclofenac"
"swelling, cough, sore throat","azithromycin, diclofenac"
"sore throat, swelling, acidity","azithromycin, diclofenac, aciloc"
"inflammation, stomach pain, headache, bacterial infection, sore throat","azithromycin, diclofenac, aciloc"
"runny nose, swelling, acidity","cetirizine, diclofenac, aciloc"
inflammation,diclofenac
"headache, cold, cough","cetirizine, azithromycin, diclofenac"
"cold, body pain","cetirizine, diclofenac"
acidity,aciloc
"sneezing, runny nose",cetirizine
"inflammation, body pain",diclofenac
"sore throat, body pain, acidity","azithromycin, diclofenac, aciloc"
"bacterial infection, swelling","azithromycin, diclofenac"
stomach pain,aciloc
"stomach pain, runny nose","cetirizine, aciloc"
"body pain, cough, bacterial infection","azithromycin, diclofenac"
"inflammation, cold","cetirizine, diclofenac"
stomach pain,aciloc
"cold, inflammation, acidity, headache, fever","paracetamol, cetirizine, diclofenac, aciloc"
allergy,cetirizine
"inflammation, bacterial infection","azithromycin, diclofenac"
"stomach pain, swelling, allergy, cough, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"inflammation, body pain, fever","paracetamol, diclofenac"
"allergy, sneezing, sore throat, inflammation","cetirizine, azithromycin, diclofenac"
"cold, cough, inflammation","cetirizine, azithromycin, diclofenac"
"cough, acidity","azithromycin, aciloc"
"headache, cold, cough","cetirizine, azithromycin, diclofenac"
cough,azithromycin
"inflammation, headache, bacterial infection, stomach pain","azithromycin, diclofenac, aciloc"
runny nose,cetirizine
"cough, body pain, swelling, stomach pain","azithromycin, diclofenac, aciloc"
"body pain, stomach pain, runny nose, cold","cetirizine, diclofenac, aciloc"
"acidity, inflammation","diclofenac, aciloc"
"bacterial infection, swelling, allergy, fever, acidity","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
"allergy, swelling, bacterial infection, sneezing, inflammation","cetirizine, azithromycin, diclofenac"
cold,cetirizine
"cough, bacterial infection, sneezing, acidity, cold","cetirizine, azithromycin, aciloc"
"runny nose, swelling, cough","cetirizine, azithromycin, diclofenac"
"swelling, allergy, sore throat, cold, bacterial infection","cetirizine, azithromycin, diclofenac"
"fever, stomach pain","paracetamol, aciloc"
"cold, bacterial infection, fever","paracetamol, cetirizine, azithromycin"
"allergy, bacterial infection, stomach pain, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"cold, swelling, runny nose, headache","cetirizine, diclofenac"
"body pain, sneezing, sore throat, allergy, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"runny nose, inflammation, acidity, allergy, headache","cetirizine, diclofenac, aciloc"
"sore throat, sneezing, allergy, swelling, fever","paracetamol, cetirizine, azithromycin, diclofenac"
sneezing,cetirizine
"swelling, acidity, bacterial infection","azithromycin, diclofenac, aciloc"
"acidity, body pain, fever, headache","paracetamol, aciloc"
"cough, inflammation, sore throat, fever, sneezing","paracetamol, cetirizine, azithromycin, diclofenac"
"stomach pain, sneezing, acidity, cough","cetirizine, azithromycin, aciloc"
"cold, cough, acidity, headache, fever","paracetamol, cetirizine, azithromycin, aciloc"
"cough, runny nose, swelling, headache","cetirizine, azithromycin, diclofenac"
"stomach pain, inflammation, fever","paracetamol, diclofenac, aciloc"
"body pain, stomach pain, bacterial infection, runny nose, swelling","cetirizine, azithromycin, diclofenac, aciloc"
"bacterial infection, swelling, cold","cetirizine, azithromycin, diclofenac"
acidity,aciloc
"runny nose, cough, cold","cetirizine, azithromycin"
"fever, stomach pain, inflammation, headache, sneezing","paracetamol, cetirizine, diclofenac, aciloc"
"cold, headache, sore throat, sneezing","cetirizine, azithromycin, diclofenac"
"bacterial infection, sneezing, stomach pain, acidity","cetirizine, azithromycin, aciloc"
"allergy, bacterial infection","cetirizine, azithromycin"
"allergy, body pain, fever, inflammation, stomach pain","paracetamol, cetirizine, diclofenac, aciloc"
sneezing,cetirizine
"headache, bacterial infection, stomach pain","azithromycin, diclofenac, aciloc"
"body pain, sore throat, sneezing, allergy","cetirizine, azithromycin, diclofenac"
fever,paracetamol
inflammation,diclofenac
"allergy, headache, cough, fever","paracetamol, cetirizine, azithromycin"
"acidity, inflammation, runny nose","cetirizine, diclofenac, aciloc"
"allergy, headache","cetirizine, diclofenac"
"stomach pain, fever","paracetamol, aciloc"
cough,azithromycin
acidity,aciloc
"stomach pain, cough, sore throat, inflammation, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
"fever, inflammation, sneezing, swelling","paracetamol, cetirizine, diclofenac"
"inflammation, cough","azithromycin, diclofenac"
"sneezing, sore throat, fever, bacterial infection","paracetamol, cetirizine, azithromycin"
"runny nose, cough, bacterial infection, headache","cetirizine, azithromycin, diclofenac"
headache,diclofenac
"headache, body pain, sneezing","cetirizine, diclofenac"
"allergy, bacterial infection, headache","cetirizine, azithromycin, diclofenac"
"acidity, inflammation, bacterial infection","azithromycin, diclofenac, aciloc"
"body pain, swelling, fever, cough, headache","paracetamol, azithromycin, diclofenac"
"sore throat, sneezing","cetirizine, azithromycin"
"sore throat, body pain, cold","cetirizine, azithromycin, diclofenac"
"sore throat, allergy, sneezing","cetirizine, azithromycin"
"swelling, stomach pain, sore throat, fever","paracetamol, azithromycin, diclofenac, aciloc"
"headache, acidity","diclofenac, aciloc"
cold,cetirizine
acidity,aciloc
"runny nose, body pain, inflammation","cetirizine, diclofenac"
"body pain, allergy, fever","paracetamol, cetirizine"
"bacterial infection, stomach pain, inflammation, sneezing, allergy","cetirizine, azithromycin, diclofenac, aciloc"
"allergy, runny nose, acidity, stomach pain, sneezing","cetirizine, aciloc"
"sore throat, stomach pain, body pain, headache","azithromycin, diclofenac, aciloc"
"inflammation, allergy, body pain, sneezing","cetirizine, diclofenac"
"swelling, allergy, body pain, stomach pain","cetirizine, diclofenac, aciloc"
"sneezing, cough, stomach pain","cetirizine, azithromycin, aciloc"
sore throat,azithromycin
cough,azithromycin
"stomach pain, sore throat, cold","cetirizine, azithromycin, aciloc"
"sneezing, bacterial infection, inflammation, sore throat, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, headache, runny nose","cetirizine, diclofenac"
"runny nose, bacterial infection, cold","cetirizine, azithromycin"
"sneezing, cough, swelling, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"allergy, sneezing",cetirizine
"cold, acidity, sore throat, runny nose","cetirizine, azithromycin, aciloc"
"swelling, fever, runny nose, allergy, sneezing","paracetamol, cetirizine, diclofenac"
"sneezing, headache, body pain, cough","cetirizine, azithromycin, diclofenac"
fever,paracetamol
"fever, acidity, bacterial infection","paracetamol, azithromycin, aciloc"
"bacterial infection, cold, inflammation, fever, acidity","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
"runny nose, body pain","cetirizine, diclofenac"
"cold, body pain, sneezing","cetirizine, diclofenac"
"stomach pain, inflammation, runny nose, allergy","cetirizine, diclofenac, aciloc"
cough,azithromycin
"sneezing, runny nose, sore throat","cetirizine, azithromycin"
bacterial infection,azithromycin
"runny nose, inflammation, bacterial infection","cetirizine, azithromycin, diclofenac"
"body pain, stomach pain, bacterial infection, acidity, sore throat","azithromycin, diclofenac, aciloc"
"headache, swelling, allergy, sore throat","cetirizine, azithromycin, diclofenac"
"stomach pain, body pain, allergy","cetirizine, diclofenac, aciloc"
"sneezing, cough","cetirizine, azithromycin"
"swelling, allergy, cold, body pain, cough","cetirizine, azithromycin, diclofenac"
"inflammation, swelling, fever, sneezing, sore throat","paracetamol, cetirizine, azithromycin, diclofenac"
"fever, stomach pain, runny nose","paracetamol, cetirizine, aciloc"
"inflammation, bacterial infection, stomach pain, headache, allergy","cetirizine, azithromycin, diclofenac, aciloc"
"stomach pain, cough","azithromycin, aciloc"
"swelling, cough, sneezing, headache","cetirizine, azithromycin, diclofenac"
inflammation,diclofenac
"sore throat, bacterial infection, fever","paracetamol, azithromycin"
"swelling, fever, stomach pain, runny nose, inflammation","paracetamol, cetirizine, diclofenac, aciloc"
"runny nose, allergy, acidity, body pain, headache","cetirizine, diclofenac, aciloc"
sneezing,cetirizine
"sneezing, cough, allergy, acidity","cetirizine, azithromycin, aciloc"
"sneezing, swelling","cetirizine, diclofenac"
"acidity, swelling","diclofenac, aciloc"
cough,azithromycin
acidity,aciloc
swelling,diclofenac
"sneezing, bacterial infection, stomach pain, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"fever, acidity, inflammation, swelling","paracetamol, diclofenac, aciloc"
"bacterial infection, cough, body pain, acidity","azithromycin, diclofenac, aciloc"
"cough, acidity, bacterial infection","azithromycin, aciloc"
"sore throat, inflammation, cough, fever, body pain","paracetamol, azithromycin, diclofenac"
"swelling, sneezing, inflammation, body pain, bacterial infection","cetirizine, azithromycin, diclofenac"
"swelling, runny nose, bacterial infection, body pain, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"inflammation, swelling, allergy, cold","cetirizine, diclofenac"
"allergy, stomach pain, headache","cetirizine, diclofenac, aciloc"
"inflammation, body pain, sneezing","cetirizine, diclofenac"
sore throat,azithromycin
"inflammation, sneezing","cetirizine, diclofenac"
"bacterial infection, swelling","azithromycin, diclofenac"
"cough, allergy","cetirizine, azithromycin"
"bacterial infection, headache, stomach pain, runny nose, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, sore throat, stomach pain, headache","azithromycin, diclofenac, aciloc"
"swelling, cough","azithromycin, diclofenac"
"cold, allergy, body pain, stomach pain","cetirizine, diclofenac, aciloc"
"acidity, fever, cold","paracetamol, cetirizine, aciloc"
"cough, swelling, acidity, runny nose, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, cold, sore throat, sneezing, headache","cetirizine, azithromycin, diclofenac, aciloc"
"inflammation, acidity, allergy","cetirizine, diclofenac, aciloc"
"allergy, body pain","cetirizine, diclofenac"
cough,azithromycin
runny nose,cetirizine
"stomach pain, cough, allergy","cetirizine, azithromycin, aciloc"
"sore throat, fever, headache","paracetamol, azithromycin"
"cough, acidity, stomach pain","azithromycin, aciloc"
acidity,aciloc
"inflammation, sore throat","azithromycin, diclofenac"
"sneezing, bacterial infection, headache, allergy","cetirizine, azithromycin, diclofenac"
inflammation,diclofenac
"inflammation, cough, acidity, swelling","azithromycin, diclofenac, aciloc"
"stomach pain, cold, headache","cetirizine, diclofenac, aciloc"
"allergy, swelling, inflammation, acidity","cetirizine, diclofenac, aciloc"
runny nose,cetirizine
stomach pain,aciloc
"cough, body pain","azithromycin, diclofenac"
headache,diclofenac
"headache, stomach pain, cold, acidity, allergy","cetirizine, diclofenac, aciloc"
"fever, sore throat","paracetamol, azithromycin"
"swelling, sore throat","azithromycin, diclofenac"
"fever, allergy, runny nose","paracetamol, cetirizine"
"swelling, headache, fever","paracetamol, diclofenac"
"body pain, sore throat, allergy","cetirizine, azithromycin, diclofenac"
"acidity, sore throat, bacterial infection","azithromycin, aciloc"
"fever, inflammation, allergy, swelling, body pain","paracetamol, cetirizine, diclofenac"
"body pain, swelling, allergy, fever, sneezing","paracetamol, cetirizine, diclofenac"
"acidity, fever, sneezing","paracetamol, cetirizine, aciloc"
sneezing,cetirizine
"body pain, sneezing","cetirizine, diclofenac"
"sneezing, cold",cetirizine
"acidity, sneezing, body pain, allergy","cetirizine, diclofenac, aciloc"
runny nose,cetirizine
"sneezing, acidity, sore throat, headache","cetirizine, azithromycin, diclofenac, aciloc"
fever,paracetamol
inflammation,diclofenac
headache,diclofenac
"runny nose, headache, bacterial infection","cetirizine, azithromycin, diclofenac"
"runny nose, fever, cough, sore throat","paracetamol, cetirizine, azithromycin"
"acidity, allergy, cough, runny nose","cetirizine, azithromycin, aciloc"
"sneezing, headache, body pain","cetirizine, diclofenac"
cold,cetirizine
"sore throat, inflammation, runny nose","cetirizine, azithromycin, diclofenac"
"runny nose, cold, fever, body pain","paracetamol, cetirizine"
bacterial infection,azithromycin
"cough, stomach pain, allergy, cold","cetirizine, azithromycin, aciloc"
headache,diclofenac
"acidity, bacterial infection, runny nose","cetirizine, azithromycin, aciloc"
"headache, bacterial infection","azithromycin, diclofenac"
"cough, runny nose, cold, body pain, sneezing","cetirizine, azithromycin, diclofenac"
"bacterial infection, runny nose","cetirizine, azithromycin"
"sore throat, cold, bacterial infection, sneezing, allergy","cetirizine, azithromycin"
"stomach pain, headache, bacterial infection, cold","cetirizine, azithromycin, diclofenac, aciloc"
"inflammation, cough","azithromycin, diclofenac"
"runny nose, stomach pain, fever, swelling, headache","paracetamol, cetirizine, diclofenac, aciloc"
allergy,cetirizine
"allergy, inflammation, stomach pain, runny nose, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
swelling,diclofenac
"acidity, body pain, swelling","diclofenac, aciloc"
"fever, bacterial infection","paracetamol, azithromycin"
sore throat,azithromycin
"stomach pain, bacterial infection, allergy, sore throat","cetirizine, azithromycin, aciloc"
"runny nose, sore throat, inflammation","cetirizine, azithromycin, diclofenac"
"sore throat, bacterial infection, sneezing","cetirizine, azithromycin"
headache,diclofenac
"sore throat, bacterial infection, sneezing, cough","cetirizine, azithromycin"
"stomach pain, bacterial infection, runny nose","cetirizine, azithromycin, aciloc"
allergy,cetirizine
"cold, allergy, sore throat, sneezing","cetirizine, azithromycin"
"headache, sore throat, runny nose, cough","cetirizine, azithromycin, diclofenac"
bacterial infection,azithromycin
"swelling, headache, stomach pain, cough, acidity","azithromycin, diclofenac, aciloc"
"cough, headache","azithromycin, diclofenac"
"bacterial infection, runny nose, fever, sore throat","paracetamol, cetirizine, azithromycin"
"sneezing, acidity, allergy, cold","cetirizine, aciloc"
"bacterial infection, sore throat, swelling, sneezing, fever","paracetamol, cetirizine, azithromycin, diclofenac"
"cold, acidity, runny nose, headache","cetirizine, diclofenac, aciloc"
"stomach pain, swelling","diclofenac, aciloc"
"sore throat, bacterial infection, cough, inflammation","azithromycin, diclofenac"
"inflammation, cold, headache, allergy, bacterial infection","cetirizine, azithromycin, diclofenac"
fever,paracetamol
"runny nose, swelling, cough, bacterial infection","cetirizine, azithromycin, diclofenac"
runny nose,cetirizine
allergy,cetirizine
"cold, acidity, headache","cetirizine, diclofenac, aciloc"
"cold, bacterial infection","cetirizine, azithromycin"
"acidity, sore throat","azithromycin, aciloc"
"bacterial infection, runny nose, allergy, sore throat","cetirizine, azithromycin"
cough,azithromycin
"sneezing, cough, allergy","cetirizine, azithromycin"
"stomach pain, cold","cetirizine, aciloc"
"sneezing, body pain, acidity, stomach pain, runny nose","cetirizine, diclofenac, aciloc"
"bacterial infection, allergy, body pain","cetirizine, azithromycin, diclofenac"
"bacterial infection, fever, cold, runny nose, sneezing","paracetamol, cetirizine, azithromycin"
"allergy, runny nose",cetirizine
"sore throat, allergy, bacterial infection, runny nose, cough","cetirizine, azithromycin"
swelling,diclofenac
"stomach pain, runny nose","cetirizine, aciloc"
"allergy, headache, acidity","cetirizine, diclofenac, aciloc"
"cold, runny nose, headache","cetirizine, diclofenac"
"fever, stomach pain, swelling","paracetamol, diclofenac, aciloc"
"bacterial infection, acidity, allergy, sneezing, cough","cetirizine, azithromycin, aciloc"
"allergy, cough, inflammation","cetirizine, azithromycin, diclofenac"
swelling,diclofenac
"stomach pain, sneezing, bacterial infection","cetirizine, azithromycin, aciloc"
"stomach pain, headache, fever, body pain, cold","paracetamol, cetirizine, aciloc"
allergy,cetirizine
"inflammation, body pain, acidity","diclofenac, aciloc"
"body pain, swelling, cough","azithromycin, diclofenac"
"inflammation, swelling, sore throat","azithromycin, diclofenac"
"fever, cold, stomach pain, allergy, bacterial infection","paracetamol, cetirizine, azithromycin, aciloc"
headache,diclofenac
"sore throat, fever, body pain","paracetamol, azithromycin"
"cold, sore throat, headache","cetirizine, azithromycin, diclofenac"
"sneezing, sore throat, cold, cough, inflammation","cetirizine, azithromycin, diclofenac"
"allergy, cough","cetirizine, azithromycin"
swelling,diclofenac
"inflammation, sore throat","azithromycin, diclofenac"
"fever, acidity","paracetamol, aciloc"
"allergy, body pain","cetirizine, diclofenac"
